top_features,accuracy,precision_macro,recall_macro,f1_macro,n_estimators,max_depth,max_features,class_weight
20,0.859477,0.866508,0.859477,0.859572,500,None,sqrt,balanced
20,0.862745,0.868821,0.862745,0.862638,1000,None,sqrt,balanced
20,0.843137,0.846340,0.843137,0.842172,500,20,sqrt,balanced
20,0.849673,0.853272,0.849673,0.849227,1000,20,sqrt,balanced
20,0.859477,0.866508,0.859477,0.859572,500,None,log2,balanced
20,0.862745,0.868821,0.862745,0.862638,1000,None,log2,balanced
30,0.862745,0.867717,0.862745,0.863209,500,None,sqrt,balanced
30,0.856209,0.861208,0.856209,0.856687,1000,None,sqrt,balanced
30,0.856209,0.858967,0.856209,0.855701,500,20,sqrt,balanced
30,0.849673,0.851618,0.849673,0.848987,1000,20,sqrt,balanced
30,0.852941,0.860057,0.852941,0.853336,500,None,log2,balanced
30,0.852941,0.860966,0.852941,0.853843,1000,None,log2,balanced
40,0.830065,0.838621,0.830065,0.829722,500,None,sqrt,balanced
40,0.836601,0.846792,0.836601,0.836637,1000,None,sqrt,balanced
40,0.813725,0.821865,0.813725,0.814014,500,20,sqrt,balanced
40,0.813725,0.821568,0.813725,0.813168,1000,20,sqrt,balanced
40,0.833333,0.840660,0.833333,0.833088,500,None,log2,balanced
40,0.830065,0.838269,0.830065,0.829162,1000,None,log2,balanced
50,0.813725,0.827154,0.813725,0.814583,500,None,sqrt,balanced
50,0.813725,0.825554,0.813725,0.814227,1000,None,sqrt,balanced
50,0.790850,0.802926,0.790850,0.790296,500,20,sqrt,balanced
50,0.797386,0.807493,0.797386,0.796609,1000,20,sqrt,balanced
50,0.810458,0.818689,0.810458,0.809633,500,None,log2,balanced
50,0.810458,0.819910,0.810458,0.809908,1000,None,log2,balanced
60,0.794118,0.814029,0.794118,0.795850,500,None,sqrt,balanced
60,0.787582,0.805683,0.787582,0.789092,1000,None,sqrt,balanced
60,0.767974,0.782596,0.767974,0.769202,500,20,sqrt,balanced
60,0.767974,0.782345,0.767974,0.769042,1000,20,sqrt,balanced
60,0.784314,0.801141,0.784314,0.785658,500,None,log2,balanced
60,0.787582,0.801317,0.787582,0.788252,1000,None,log2,balanced
78,0.745098,0.762748,0.745098,0.746766,500,None,sqrt,balanced
78,0.751634,0.764739,0.751634,0.751878,1000,None,sqrt,balanced
78,0.728758,0.740783,0.728758,0.727405,500,20,sqrt,balanced
78,0.715686,0.732214,0.715686,0.715590,1000,20,sqrt,balanced
78,0.732026,0.743742,0.732026,0.732973,500,None,log2,balanced
78,0.735294,0.745267,0.735294,0.735992,1000,None,log2,balanced
