top_features,accuracy,precision_macro,recall_macro,f1_macro,n_estimators,max_depth,max_features,class_weight
20,0.846405,0.857523,0.846405,0.845476,500,None,sqrt,balanced
20,0.846405,0.856594,0.846405,0.845195,1000,None,sqrt,balanced
20,0.833333,0.841264,0.833333,0.831533,500,20,sqrt,balanced
20,0.836601,0.847587,0.836601,0.835433,1000,20,sqrt,balanced
20,0.846405,0.857523,0.846405,0.845476,500,None,log2,balanced
20,0.846405,0.856594,0.846405,0.845195,1000,None,log2,balanced
30,0.816993,0.828584,0.816993,0.815516,500,None,sqrt,balanced
30,0.813725,0.822282,0.813725,0.811775,1000,None,sqrt,balanced
30,0.810458,0.821155,0.810458,0.808457,500,20,sqrt,balanced
30,0.810458,0.819094,0.810458,0.808557,1000,20,sqrt,balanced
30,0.820261,0.830507,0.820261,0.819457,500,None,log2,balanced
30,0.823529,0.836955,0.823529,0.822807,1000,None,log2,balanced
40,0.807190,0.817698,0.807190,0.805849,500,None,sqrt,balanced
40,0.797386,0.809488,0.797386,0.795590,1000,None,sqrt,balanced
40,0.797386,0.806683,0.797386,0.796060,500,20,sqrt,balanced
40,0.794118,0.810185,0.794118,0.792846,1000,20,sqrt,balanced
40,0.816993,0.826185,0.816993,0.815459,500,None,log2,balanced
40,0.807190,0.818978,0.807190,0.806807,1000,None,log2,balanced
50,0.803922,0.815216,0.803922,0.803295,500,None,sqrt,balanced
50,0.797386,0.806268,0.797386,0.795607,1000,None,sqrt,balanced
50,0.767974,0.777117,0.767974,0.765585,500,20,sqrt,balanced
50,0.787582,0.793619,0.787582,0.785690,1000,20,sqrt,balanced
50,0.803922,0.812459,0.803922,0.803129,500,None,log2,balanced
50,0.823529,0.834503,0.823529,0.823356,1000,None,log2,balanced
60,0.771242,0.778907,0.771242,0.769137,500,None,sqrt,balanced
60,0.777778,0.785694,0.777778,0.776872,1000,None,sqrt,balanced
60,0.745098,0.752283,0.745098,0.743343,500,20,sqrt,balanced
60,0.758170,0.769686,0.758170,0.757518,1000,20,sqrt,balanced
60,0.777778,0.790079,0.777778,0.778232,500,None,log2,balanced
60,0.797386,0.803131,0.797386,0.796594,1000,None,log2,balanced
78,0.745098,0.749984,0.745098,0.743257,500,None,sqrt,balanced
78,0.751634,0.762098,0.751634,0.750145,1000,None,sqrt,balanced
78,0.758170,0.769695,0.758170,0.756882,500,20,sqrt,balanced
78,0.754902,0.766535,0.754902,0.753800,1000,20,sqrt,balanced
78,0.774510,0.791707,0.774510,0.771437,500,None,log2,balanced
78,0.761438,0.774852,0.761438,0.759500,1000,None,log2,balanced
